iter	Passed	Remaining
0	0	73
1	1	64
2	1	61
3	2	59
4	3	58
5	3	57
6	4	56
7	4	55
8	5	54
9	5	53
10	6	53
11	7	54
12	8	53
13	8	52
14	9	52
15	9	52
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	35
43	26	34
44	27	33
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	59	0
99	60	0
